Date,Open,High,Low,Close,Adj Close,Volume
23-03-2022,2782.770,2800.50,2763.33,2770.07,2770.07,1265100.00
24-03-2022,2785.450,2827.93,2760.79,2826.24,2826.24,1027200.00
25-03-2022,2835.080,2839.19,2793.99,2830.43,2830.43,963500.00
28-03-2022,2813.690,2839.53,2796.56,2839.00,2839.00,1188700.00
29-03-2022,2863.210,2883.25,2849.68,2865.00,2865.00,1433900.00
30-03-2022,2857.400,2869.61,2843.36,2852.89,2852.89,1052300.00
31-03-2022,2848.970,2852.89,2792.38,2792.99,2792.99,1475800.00
01-04-2022,2800.200,2819.00,2775.94,2814.00,2814.00,1174000.00
04-04-2022,2816.490,2880.88,2816.49,2872.85,2872.85,953800.00
05-04-2022,2867.990,2871.80,2818.87,2821.26,2821.26,962800.00
06-04-2022,2783.230,2796.97,2728.36,2743.52,2743.52,1178700.00
07-04-2022,2732.360,2754.03,2697.15,2729.30,2729.30,972400.00
08-04-2022,2725.000,2725.00,2675.05,2680.21,2680.21,821700.00
11-04-2022,2658.000,2658.78,2592.35,2595.93,2595.93,1209400.00
12-04-2022,2648.470,2648.47,2551.52,2567.49,2567.49,1150200.00
13-04-2022,2572.530,2613.11,2568.77,2605.72,2605.72,977100.00
14-04-2022,2612.990,2614.21,2542.23,2545.06,2545.06,1174200.00
18-04-2022,2548.200,2574.24,2531.57,2559.22,2559.22,745900.00
19-04-2022,2561.540,2618.07,2549.03,2610.62,2610.62,1136000.00
20-04-2022,2625.680,2638.47,2557.88,2564.91,2564.91,1130500.00
21-04-2022,2587.000,2606.15,2493.00,2498.75,2498.75,1507900.00
22-04-2022,2500.000,2509.04,2382.81,2392.28,2392.28,2320500.00
25-04-2022,2388.590,2465.56,2375.39,2465.00,2465.00,1726100.00
26-04-2022,2455.000,2455.00,2383.24,2390.12,2390.12,2469700.00
27-04-2022,2287.460,2350.00,2262.49,2300.41,2300.41,3111900.00
28-04-2022,2342.300,2408.77,2302.88,2388.23,2388.23,1839500.00
